taskSize,taskType,priority,resourceLoad,actualTime
1,1,1,25.5,0.537
1,3,2,36.36,1.035
1,2,1,21.08,1.099
3,1,2,26.82,17.552
1,3,2,3.12,1.107
2,3,4,28.36,3.023
3,3,4,16.92,12.382
1,1,2,63.9,0.784
1,1,1,13.85,0.552
2,2,4,47.71,4.941
1,3,1,14.83,0.609
1,1,1,11.39,0.822
2,1,2,18.34,2.783
2,1,2,34.16,4.055
2,1,1,6.64,3.571
3,2,1,29.73,36.771
1,1,1,45.53,0.859
2,2,2,17.51,6.654
2,2,3,36.61,7.439
2,1,2,18.75,3.194
2,3,2,10.52,2.88
2,1,3,48.64,5.616
2,1,2,60.64,4.393
1,1,2,5.37,0.713
2,2,2,26.56,6.486
1,1,3,38.71,0.491
1,3,3,44.97,1.027
2,1,1,37.55,3.549
2,1,4,27.45,2.065
1,3,2,18.77,1.098
1,3,4,29.71,0.452
1,2,2,17.72,1.105
1,1,2,12.5,0.733
1,1,1,4.14,0.663
3,1,2,14.32,11.56
1,2,2,66.85,2.685
3,2,4,49.49,23.701
1,1,4,43.73,0.528
2,2,2,42.83,3.755
1,2,4,33.14,1.206
2,1,4,40.73,3.402
2,1,4,31.27,2.984
2,3,1,23.86,3.605
3,1,1,31.8,13.392
1,1,4,13.3,0.486
1,1,2,35.31,0.742
1,2,2,22.76,1.826
2,2,2,68.09,14.059
1,2,1,26.21,1.022
1,1,1,11.89,0.529
1,2,1,30.86,1.467
1,1,2,24.08,0.746
2,3,2,42.44,7.14
2,3,2,7.31,4.083
2,2,1,32.01,5.766
2,1,1,55.15,4.714
2,2,2,22.59,4.066
1,1,1,35.4,1.129
3,1,4,28.01,11.647
1,3,2,13.46,0.369
2,1,1,32.23,4.507
2,1,2,40.63,3.739
1,2,2,13.98,0.935
1,2,1,20.24,1.317
1,2,3,19.21,1.003
1,1,1,36.06,0.982
3,2,1,46.32,46.025
1,1,1,36.68,0.889
1,3,2,23.04,0.727
1,1,2,44.4,1.078
1,1,3,11.34,0.319
1,2,2,57.84,2.005
1,1,1,44.32,0.636
1,2,2,50.4,1.475
1,1,2,22.18,0.71
1,1,2,19.42,0.553
1,1,2,67.63,1.128
2,1,2,63.99,7.663
1,1,3,30.74,0.407
1,1,2,8.93,0.684
3,1,4,27.08,10.762
1,3,3,26.52,1.035
1,2,2,32.57,0.976
2,1,1,23.2,4.028
1,1,1,6.48,0.718
2,1,1,65.29,3.408
2,1,1,21.96,3.747
3,1,1,45.77,27.119
3,1,2,51.0,18.148
1,3,1,10.48,1.155
2,2,1,14.91,4.443
1,1,2,19.34,0.449
2,1,3,31.63,2.466
1,1,1,45.23,0.706
1,1,4,62.49,0.918
1,2,4,33.62,1.131
1,1,4,50.57,0.441
1,1,2,20.94,0.533
1,1,3,35.49,0.555
3,2,1,25.6,34.473
1,1,2,39.6,0.517
2,3,1,11.82,3.167
2,1,1,16.96,3.345
2,1,4,38.7,2.926
1,1,2,27.25,0.803
2,2,1,25.95,12.36
2,1,1,37.86,3.408
2,1,2,23.2,2.532
3,1,3,21.47,14.321
1,1,4,17.34,0.459
1,1,1,1.05,0.801
2,2,1,4.53,5.389
1,2,1,14.89,0.985
2,2,2,47.14,9.663
1,3,2,18.35,0.793
1,1,3,11.85,0.647
1,3,2,24.98,0.828
1,1,1,32.68,0.801
3,1,1,30.19,11.433
1,2,1,58.11,1.592
2,1,3,42.49,4.366
1,1,2,22.91,1.066
3,2,4,52.32,47.575
1,1,1,21.0,1.07
1,1,4,25.36,0.446
1,2,1,45.09,1.907
1,1,1,53.61,1.189
3,1,1,49.9,20.263
3,1,1,2.37,15.736
1,3,1,28.91,1.027
1,3,1,25.21,0.741
1,2,2,8.95,1.147
1,1,3,9.18,0.563
1,1,3,56.98,0.655
1,1,3,17.64,0.422
2,2,3,7.63,4.486
2,2,5,36.37,4.125
1,2,1,1.39,1.034
1,1,5,8.77,0.482
1,3,2,32.23,1.912
1,1,2,20.87,1.476
1,1,2,38.83,0.654
2,1,1,20.39,3.042
1,2,1,19.57,1.009
2,3,2,21.0,4.973
2,1,3,39.14,2.503
3,3,4,33.31,18.729
2,1,1,44.32,5.422
1,1,1,49.55,1.445
1,1,2,9.54,0.711
1,1,1,25.82,0.79
3,3,1,17.76,19.596
3,1,1,18.03,20.16
1,1,3,39.07,1.014
1,1,1,22.2,0.739
1,2,1,12.2,1.279
1,3,1,29.17,0.663
3,3,2,68.82,29.96
1,1,1,56.31,0.887
1,1,2,2.27,0.52
1,1,4,53.76,1.229
1,3,1,72.38,1.691
1,1,1,13.51,0.701
2,3,1,38.81,5.318
1,3,5,8.76,0.526
1,2,2,28.68,1.023
1,2,3,24.32,0.671
1,1,4,26.55,0.627
1,1,5,73.95,0.967
1,1,4,19.15,0.569
1,1,1,12.69,0.859
1,2,2,42.21,1.097
2,1,5,29.88,2.168
2,3,2,18.38,3.253
3,3,3,33.03,9.821
1,1,4,23.64,0.399
2,1,2,34.23,2.822
2,1,2,8.62,3.429
1,1,2,61.38,1.004
1,2,1,29.41,1.599
1,2,1,15.0,1.397
2,2,2,63.08,6.622
1,1,5,14.51,0.279
1,3,4,12.67,0.623
3,2,1,45.17,26.548
1,3,3,10.06,0.554
3,3,1,9.24,26.166
2,2,2,46.67,7.138
2,1,4,18.88,1.36
2,3,5,16.08,1.669
1,1,2,9.58,0.761
2,1,2,12.49,3.403
2,1,1,8.09,2.906
2,1,3,44.01,3.713
1,1,1,22.33,0.88
1,1,1,36.63,0.619
1,3,3,21.61,0.78
1,2,1,23.83,1.013
1,3,2,50.93,1.343
2,3,2,18.78,5.096
2,1,1,45.59,6.746
2,2,1,25.51,6.098
1,2,1,59.78,2.768
1,1,1,14.91,0.748
1,3,2,28.57,0.727
1,3,2,15.07,0.564
1,1,2,39.87,1.102
1,3,3,56.99,1.12
1,1,3,74.48,1.115
1,3,2,48.65,1.325
1,2,2,24.23,1.957
1,1,2,42.94,0.415
1,3,1,43.8,2.102
2,2,1,38.08,7.151
1,1,1,19.62,0.701
1,2,3,66.2,1.304
1,2,2,16.64,0.731
3,1,5,16.68,9.711
1,2,1,26.32,1.181
2,1,1,55.92,4.519
1,1,1,18.25,0.547
2,2,3,23.59,3.027
2,1,2,41.6,3.673
1,1,2,20.26,0.627
2,3,2,63.15,9.372
1,3,1,13.36,0.909
2,2,3,24.89,4.966
1,2,3,15.44,0.713
1,3,2,81.25,3.021
3,3,1,37.67,23.034
2,1,3,6.68,2.619
1,1,3,53.75,0.641
3,1,4,20.51,13.437
1,1,1,52.24,1.546
1,1,4,22.05,0.391
2,2,4,23.11,6.235
1,2,1,32.67,1.833
1,3,3,15.04,1.087
2,1,1,39.0,6.251
1,1,1,20.15,0.691
1,1,2,10.45,0.442
1,1,1,45.47,1.062
2,1,1,35.13,2.508
1,3,2,42.53,1.389
1,1,5,15.9,0.384
2,2,1,34.18,6.066
1,1,1,18.41,0.645
1,2,1,15.19,1.659
2,3,1,43.59,6.661
2,3,4,22.67,2.952
1,1,2,8.47,0.536
2,3,2,26.68,4.367
2,1,2,7.18,3.469
1,3,5,56.99,0.95
2,1,2,19.17,2.355
2,2,4,18.7,4.57
2,2,2,29.85,4.661
1,3,4,13.4,0.574
2,3,2,11.06,2.432
3,1,4,25.74,10.377
1,3,1,29.27,0.822
2,1,2,32.95,2.488
2,1,2,39.03,3.352
2,1,2,34.18,4.556
3,1,2,24.01,12.528
1,1,1,76.89,0.966
1,2,4,28.02,1.32
1,1,2,34.39,0.629
1,2,1,14.52,1.629
1,1,3,33.87,0.457
2,2,3,15.31,6.006
3,1,1,55.43,35.51
1,1,1,57.81,1.548
2,2,2,34.27,7.439
1,3,3,56.92,1.632
1,3,1,41.02,1.09
1,1,1,11.15,0.633
1,3,3,48.53,1.25
1,2,1,41.63,2.666
2,3,4,14.76,5.746
2,1,3,10.73,2.663
1,1,4,25.24,0.387
1,1,1,14.64,0.656
1,3,1,45.87,0.972
3,1,2,21.86,14.752
3,1,1,50.4,24.185
1,2,1,2.72,1.255
1,3,2,2.71,0.818
1,2,2,31.57,1.338
2,2,1,21.11,4.387
1,1,1,49.53,0.785
1,3,1,41.48,0.834
1,1,2,30.11,0.8
1,1,1,46.52,0.516
1,1,2,60.03,1.678
1,1,3,64.35,1.271
2,2,3,23.77,5.223
1,2,4,37.22,0.704
1,1,5,37.45,0.439
1,1,1,4.45,0.478
1,1,1,21.94,0.874
2,1,3,4.76,2.534
3,3,3,24.29,25.887
1,2,1,20.95,1.826
2,1,5,68.17,4.192
2,1,4,29.7,3.09
2,3,4,34.28,5.412
1,3,1,33.46,0.67
1,3,2,36.55,0.872
1,1,2,23.09,0.607
3,2,1,35.95,44.216
2,1,1,21.25,3.716
1,2,1,16.89,1.278
1,1,4,57.9,0.478
1,2,2,51.79,1.303
1,1,2,54.29,1.194
2,2,1,30.91,6.81
1,1,4,24.93,0.424
2,3,4,43.91,3.584
2,1,2,34.05,4.538
2,2,1,32.18,7.952
2,1,1,66.89,5.524
1,2,2,10.08,1.637
2,2,3,12.67,4.633
2,1,5,6.9,1.522
1,1,1,27.9,0.601
1,1,1,61.05,1.489
1,1,1,37.45,1.097
1,2,1,58.05,3.307
1,1,2,27.25,0.812
1,1,2,16.85,0.663
2,1,4,33.84,1.919
1,1,1,21.37,0.89
1,1,1,24.47,0.77
1,2,2,13.58,1.284
1,1,3,33.47,0.648
3,3,3,23.79,16.403
1,2,4,10.71,0.766
1,1,2,15.89,0.644
1,3,1,13.18,0.843
1,2,3,8.52,0.663
2,2,5,53.76,10.12
2,1,1,30.93,2.99
1,2,1,20.55,0.787
2,1,1,20.19,3.049
1,2,2,58.62,1.266
2,1,2,23.14,6.6
1,1,1,4.76,0.629
1,2,1,21.04,1.582
2,1,2,45.3,4.26
2,1,2,21.73,1.757
1,3,1,33.51,1.358
3,1,2,25.49,11.133
2,1,1,27.69,4.145
1,1,1,37.77,0.533
2,3,1,58.2,8.047
2,2,1,29.45,6.431
1,2,1,67.61,2.298
1,3,1,49.36,1.269
2,2,1,15.63,5.227
2,3,3,50.66,2.35
1,2,3,28.73,1.251
1,3,1,38.71,1.517
1,2,2,51.09,1.782
3,1,1,45.97,13.995
2,1,4,28.97,2.148
1,1,1,54.37,1.16
2,2,1,39.42,5.568
2,3,2,67.3,9.829
1,2,1,18.7,1.532
1,2,1,33.83,1.141
1,2,1,15.99,1.611
1,3,2,32.77,0.757
1,2,1,49.88,1.686
2,1,1,41.64,4.319
3,1,4,13.97,13.742
1,1,1,40.53,0.8
2,1,1,19.53,4.777
3,1,2,17.38,11.637
1,1,1,7.99,1.085
1,1,3,49.78,0.488
2,1,1,13.82,3.793
2,3,1,51.13,5.78
1,1,3,27.03,0.3
2,3,3,2.5,3.555
2,1,3,19.82,3.056
2,3,1,42.44,7.823
2,2,2,39.83,5.819
1,3,5,4.62,0.468
1,2,2,61.98,2.618
1,2,4,56.68,1.239
3,1,2,21.44,12.817
3,1,3,56.57,21.981
2,2,1,47.07,14.075
1,1,4,15.85,0.385
1,1,4,19.63,0.424
1,3,3,52.94,0.751
1,1,4,34.05,0.531
1,2,3,36.53,1.511
2,1,2,14.41,2.025
1,1,2,13.78,0.552
2,1,3,30.81,3.834
3,1,3,6.96,10.835
2,3,2,28.23,3.547
1,3,2,24.7,0.701
3,1,4,27.54,13.594
2,1,1,17.15,3.487
1,3,3,13.59,0.862
2,1,2,28.78,2.901
2,1,3,2.55,2.55
1,1,1,27.43,0.711
1,2,2,1.97,1.131
1,1,1,25.84,0.473
1,1,2,40.99,0.771
2,3,3,14.27,3.702
1,3,2,9.88,0.366
1,2,2,17.51,0.942
1,2,1,23.1,1.255
1,3,2,37.68,1.092
1,2,4,11.03,1.05
2,2,3,38.4,11.209
1,1,1,17.39,0.705
1,1,2,16.7,0.697
2,3,3,58.61,5.465
3,2,2,27.49,34.176
1,1,2,11.7,0.569
1,2,4,18.97,1.316
1,3,4,22.89,0.87
1,1,1,3.63,0.676
1,2,2,59.04,1.665
3,1,2,22.88,15.676
2,2,4,25.31,3.768
1,3,1,4.39,0.887
3,3,1,29.0,16.884
1,3,2,55.59,2.068
1,2,2,46.66,1.256
1,1,1,51.21,1.27
1,2,4,17.36,0.46
2,1,1,8.63,2.743
1,2,1,23.96,2.034
2,2,1,55.79,11.474
1,2,1,44.97,2.785
3,1,1,18.8,16.268
2,1,1,20.57,3.193
1,1,1,8.59,0.818
1,1,2,4.07,0.599
3,1,2,19.07,14.081
1,1,2,23.45,0.982
1,3,5,23.46,0.767
2,1,5,26.73,2.875
1,3,2,46.03,0.944
1,1,1,47.9,0.344
1,3,2,27.12,0.702
1,2,1,7.41,1.133
1,3,3,28.43,0.589
1,3,2,14.24,0.682
1,2,1,55.02,2.571
1,1,2,21.3,0.45
1,2,4,16.68,0.623
3,1,2,52.16,19.369
1,3,3,18.5,0.674
1,3,3,28.58,1.233
1,1,2,23.06,0.554
2,2,1,50.42,14.303
1,1,2,17.5,0.597
1,2,1,30.95,1.579
2,2,2,15.81,6.711
1,2,1,18.24,2.215
2,3,4,24.94,2.474
2,1,3,21.42,2.984
2,2,1,9.52,7.054
1,2,3,33.85,0.755
1,1,3,26.6,0.364
1,1,3,42.29,0.396
2,1,1,38.57,2.274
3,2,2,20.36,22.027
3,3,2,25.0,23.774
1,1,1,15.03,0.582
2,1,2,19.06,2.839
1,1,1,20.48,0.622
2,1,4,65.62,6.009
1,1,5,44.66,0.608
1,2,1,14.27,1.299
1,1,1,29.77,1.132
3,3,1,36.53,23.453
1,1,4,10.27,0.492
1,2,1,47.03,1.496
1,1,3,66.98,0.696
1,1,3,24.08,0.623
3,1,1,5.9,15.728
1,2,3,22.52,0.916
1,3,2,46.45,1.178
2,1,1,16.54,3.519
1,2,4,8.14,0.745
1,2,2,28.27,0.69
1,1,1,37.65,0.651
1,3,2,18.71,0.756
1,1,2,13.6,0.62
1,3,2,50.15,1.24
1,2,1,53.41,1.36
2,1,2,43.87,3.607
2,2,1,18.84,2.811
2,1,2,33.64,3.804
1,2,1,15.32,1.497
1,3,2,24.86,1.142
3,2,3,25.89,17.628
2,1,1,14.35,2.58
1,1,1,14.43,0.847
1,2,3,27.35,1.385
1,2,1,42.03,1.436
1,2,1,51.13,1.92
1,1,2,17.15,0.686
1,2,2,16.32,0.783
3,2,1,26.8,36.375
1,2,3,43.39,1.676
1,1,1,17.06,0.638
1,1,3,32.02,0.955
2,1,3,37.82,2.876
2,3,1,38.13,3.252
1,3,3,7.18,0.639
1,3,2,19.57,0.56
2,1,5,47.19,2.953
2,2,3,28.03,6.766
1,3,1,34.49,0.734
2,1,2,37.94,4.585
1,1,2,34.8,0.834
1,1,3,31.67,0.476
1,2,2,30.27,1.132
1,1,3,23.4,0.559
1,1,1,32.79,0.802
1,2,5,28.02,0.639
2,2,1,61.61,8.734
1,3,1,34.43,0.721
3,2,1,44.4,29.194
1,3,4,13.8,0.491
1,2,3,16.39,1.137
3,3,2,23.18,12.229
2,1,4,17.92,2.155
2,3,1,35.58,7.817
2,3,1,40.08,2.692
1,2,1,56.85,2.26
1,1,2,21.79,0.555
1,1,2,20.27,0.61
1,1,1,24.11,0.69
1,1,1,4.45,0.844
1,1,1,32.56,0.679
3,1,1,34.62,17.439
2,1,2,52.3,4.022
2,3,2,6.12,4.144
2,2,1,2.79,5.457
1,3,1,8.94,0.899
1,1,2,22.69,0.759
2,1,3,40.18,3.146
2,1,2,27.37,2.564
1,3,2,38.72,0.469
1,1,5,46.49,0.766
1,2,3,33.45,1.294
1,1,1,37.2,0.614
1,1,4,30.12,0.458
1,1,2,18.92,0.971
2,1,2,44.8,3.068
3,1,2,36.46,23.108
1,3,2,33.57,1.431
2,1,4,23.12,2.102
2,1,1,12.63,2.562
1,1,2,4.53,0.605
2,3,1,8.08,4.014
1,2,3,8.53,0.958
1,2,1,5.45,1.033
1,2,2,40.23,1.134
3,3,4,10.7,15.3
3,1,1,25.55,10.146
1,2,1,43.38,1.746
1,3,2,28.29,0.713
1,1,2,27.31,0.652
2,1,1,11.69,2.25
1,2,1,24.84,2.112
1,1,1,8.22,0.681
2,1,1,7.17,4.056
1,1,3,12.31,0.396
1,1,1,15.93,0.573
1,2,2,14.79,1.08
1,1,1,64.96,1.314
1,2,5,25.3,0.761
1,1,3,18.58,0.512
1,1,2,63.85,1.098
3,1,3,49.64,18.818
1,3,1,6.09,0.824
3,1,1,39.52,18.138
1,2,2,29.93,1.017
2,3,2,60.74,9.595
1,2,1,20.98,0.984
2,1,2,13.5,2.19
1,1,3,22.4,0.535
1,2,4,13.65,0.881
1,2,4,57.58,4.479
1,2,2,2.44,0.903
3,2,2,26.45,28.329
3,1,2,24.31,13.535
2,2,1,72.06,13.82
1,2,3,13.01,1.056
2,3,1,17.99,3.619
2,2,4,14.33,4.261
1,1,1,71.04,1.086
1,2,1,6.56,1.068
2,2,1,26.25,8.049
1,1,3,17.38,0.474
1,2,1,18.68,1.181
2,1,2,33.35,4.634
1,1,1,55.21,2.255
1,2,2,36.56,1.746
1,1,2,27.75,0.65
2,2,5,33.42,2.981
3,1,1,42.76,16.813
2,3,1,18.84,3.412
2,2,1,14.63,5.093
1,2,2,42.05,1.375
2,1,3,49.21,3.514
1,3,1,28.63,0.892
1,1,5,42.36,0.542
2,2,1,48.72,10.286
2,1,3,19.08,2.757
1,1,2,21.98,0.707
2,2,4,25.29,9.001
2,1,2,35.39,4.143
1,1,2,24.79,0.83
1,1,1,50.62,1.308
1,1,1,17.85,0.629
1,3,3,5.65,0.796
1,2,1,4.9,1.015
1,1,3,38.96,0.454
1,2,1,14.04,1.55
1,2,1,25.77,2.257
2,2,2,25.4,5.083
2,2,1,30.14,7.964
1,1,2,46.94,0.54
1,1,4,25.91,0.77
1,2,1,9.03,1.111
1,2,1,31.51,1.467
1,2,1,30.22,1.257
1,1,2,51.13,0.871
1,3,3,7.74,0.468
3,1,4,44.74,10.956
1,2,1,20.75,1.244
2,1,1,2.59,3.518
1,2,1,23.19,1.653
1,3,1,55.81,1.469
3,1,2,39.7,36.411
1,2,4,17.25,0.906
2,2,1,35.14,8.694
3,1,3,31.99,11.569
1,1,2,31.36,0.907
1,2,4,37.63,1.135
1,1,4,38.89,0.857
1,1,4,16.77,0.317
1,3,2,21.6,0.434
1,2,1,51.22,1.886
2,2,1,12.71,7.033
2,2,1,56.3,13.874
1,2,2,19.83,1.111
1,2,5,22.32,1.179
2,1,2,31.44,3.234
3,1,2,46.58,19.721
1,2,1,22.23,1.371
1,3,2,56.29,0.912
2,1,1,24.4,3.555
2,3,1,26.39,3.995
3,2,1,6.21,32.13
1,1,4,52.44,0.634
1,1,1,49.61,0.953
1,1,4,39.3,0.5
1,2,2,29.15,1.315
2,1,2,62.91,9.122
1,1,3,10.78,0.423
2,1,4,44.95,3.029
3,3,1,17.84,25.624
3,1,1,12.87,17.436
2,1,1,28.0,5.461
3,1,2,66.35,13.932
1,1,1,22.35,0.595
1,1,2,54.51,0.928
1,2,1,27.71,1.514
3,2,5,18.33,14.968
3,1,3,49.78,16.642
1,3,3,28.79,0.715
1,1,2,16.16,0.551
1,3,1,16.93,1.197
1,1,1,25.95,0.794
2,3,2,11.6,3.668
1,3,4,18.54,0.628
2,3,1,8.94,3.214
1,1,2,13.05,0.515
1,2,3,25.33,0.858
1,3,1,63.47,2.492
3,2,4,9.03,25.26
2,1,4,36.35,2.181
1,1,1,37.95,1.185
1,1,2,15.4,0.626
3,1,1,28.37,16.624
2,1,2,38.32,3.149
2,2,4,23.71,3.891
2,1,1,22.73,3.362
2,1,4,19.51,1.58
1,1,5,24.29,0.36
2,3,2,4.14,3.775
1,2,1,35.88,1.003
1,2,1,12.92,1.068
3,2,2,17.98,23.331
3,2,1,7.06,21.068
1,1,1,16.14,0.896
1,2,1,70.21,2.636
2,1,2,35.19,2.169
3,2,1,16.24,33.67
2,1,1,5.5,2.802
1,3,2,16.4,0.56
1,2,1,63.89,2.239
2,1,1,27.86,5.839
2,2,1,16.19,6.0
2,1,1,18.48,2.913
2,1,1,49.68,6.2
1,3,1,49.76,0.998
1,2,2,55.59,2.951
2,2,1,33.62,6.834
1,1,1,13.56,0.775
2,1,3,32.19,1.823
2,1,2,8.7,2.914
2,2,1,43.71,5.746
1,2,4,20.3,0.749
2,1,3,31.97,3.111
1,1,2,44.2,0.694
1,1,2,25.69,0.557
1,1,1,22.34,0.995
1,1,2,30.19,0.354
3,1,2,17.34,17.227
3,1,5,25.86,8.708
1,1,5,41.79,0.382
2,1,1,34.51,3.359
1,2,5,32.66,0.801
2,3,3,18.7,3.844
2,1,2,74.79,5.532
1,1,4,38.94,0.591
1,2,1,70.67,1.234
1,1,1,32.5,1.006
1,1,4,37.84,0.572
3,1,1,34.48,12.433
1,1,3,60.61,1.376
1,3,3,7.6,0.706
1,3,4,52.85,0.952
3,1,1,22.44,13.454
1,1,2,10.29,0.444
2,3,1,23.91,3.709
2,2,4,42.21,12.133
1,3,2,41.35,0.885
1,2,2,16.46,1.255
1,1,4,17.86,0.531
1,1,2,34.54,1.158
2,1,2,33.44,3.94
2,3,2,25.61,2.963
1,1,2,51.17,0.789
1,2,3,30.46,0.84
1,2,3,17.41,1.039
1,3,1,37.03,1.336
2,2,1,36.98,9.274
2,1,2,8.69,3.493
2,1,1,17.55,5.788
1,2,3,32.99,1.425
1,3,2,42.55,0.648
1,2,1,17.78,1.033
3,2,2,8.19,36.613
2,3,1,24.29,4.105
3,1,3,5.63,12.731
1,1,1,30.52,0.645
1,3,1,27.22,0.664
2,2,1,23.31,6.877
1,3,2,27.88,1.161
2,1,3,30.29,2.72
1,2,2,6.96,0.645
3,1,1,24.1,16.194
1,1,2,30.98,0.624
3,1,2,22.45,14.756
1,2,3,21.87,0.832
1,1,1,48.47,0.589
1,1,3,48.89,0.58
1,1,2,20.48,0.477
3,1,2,29.8,19.701
3,2,2,18.98,26.226
3,2,1,48.48,53.202
3,2,1,8.41,26.191
2,1,3,44.33,2.922
1,1,2,28.54,0.589
2,1,2,8.37,2.417
1,2,2,50.8,1.939
2,3,1,55.88,3.86
1,1,1,34.27,0.718
2,3,2,19.63,3.571
1,1,1,14.16,0.623
1,2,4,18.63,0.886
1,2,1,29.59,0.828
1,2,2,59.68,2.172
1,2,1,16.09,1.256
1,1,4,22.84,0.511
1,2,3,32.64,1.22
1,1,1,12.34,0.626
1,2,2,63.2,2.13
2,1,5,22.87,2.673
1,1,2,8.74,0.393
1,3,1,24.34,1.343
1,1,3,14.25,0.862
1,1,1,44.49,1.192
1,1,1,17.73,0.642
2,2,3,13.31,4.602
1,2,5,33.67,1.013
1,3,1,33.6,1.266
1,2,1,15.58,1.318
1,1,1,32.66,0.578
1,1,4,14.53,0.618
2,1,4,31.38,2.979
1,2,4,23.7,0.934
2,3,1,6.4,5.343
1,1,1,31.43,0.738
1,1,2,3.86,0.625
1,2,1,9.8,1.054
1,2,1,16.62,1.154
1,2,1,3.4,1.33
2,1,3,34.62,3.115
2,1,2,21.81,3.212
1,1,3,41.37,0.626
1,1,1,7.01,0.44
2,2,3,64.7,14.478
1,1,2,31.15,0.534
1,1,1,42.11,1.15
2,3,2,11.67,3.815
1,2,3,35.12,1.25
1,1,1,18.87,0.647
1,3,3,4.66,0.602
2,1,2,21.74,2.4
1,2,2,13.72,1.438
2,1,4,23.38,2.794
1,3,3,16.75,0.755
1,1,2,23.62,0.76
1,1,1,16.03,0.745
2,3,2,28.26,3.108
1,2,3,25.98,1.168
2,1,5,11.04,1.616
1,1,3,20.27,0.603
1,1,3,38.61,0.531
1,1,2,29.98,0.374
1,2,3,23.59,0.867
1,1,1,11.63,0.592
2,3,2,17.04,5.46
3,2,2,15.17,30.617
2,3,2,17.71,8.087
1,2,2,36.92,1.333
1,1,5,23.36,0.369
2,2,4,11.07,3.763
1,1,3,37.6,0.635
2,1,3,36.16,3.217
2,3,3,51.3,4.131
1,2,2,14.65,1.016
3,1,1,3.77,13.885
2,1,4,21.12,2.282
1,1,1,21.63,1.078
3,2,3,19.6,30.801
1,1,1,49.64,2.713
1,3,2,20.83,0.832
1,2,1,38.37,2.226
1,1,3,17.13,0.492
1,2,4,22.67,0.957
3,3,1,7.52,19.622
1,3,1,5.58,1.371
1,1,4,19.98,0.447
2,1,1,5.99,2.891
1,2,3,35.33,1.216
2,3,3,37.52,3.624
1,3,3,31.72,1.384
3,1,1,54.1,29.49
2,2,3,26.57,8.843
1,1,5,8.3,0.377
1,1,1,43.07,0.977
1,1,3,32.07,0.647
3,1,1,47.43,25.469
2,2,5,27.94,4.32
1,1,1,59.59,1.447
1,2,1,24.24,1.067
2,2,1,33.43,7.23
1,1,5,8.97,0.337
2,2,2,22.28,4.986
2,1,1,23.1,2.381
1,1,1,14.49,0.493
1,3,4,20.88,0.546
1,1,1,5.33,0.619
1,1,2,41.08,1.196
3,2,2,11.75,22.41
2,1,3,45.37,2.258
2,1,2,29.69,2.358
1,2,3,14.97,0.913
1,2,1,45.47,2.162
2,2,2,25.31,7.44
1,3,1,22.81,0.879
1,1,2,16.98,0.971
1,1,2,22.16,0.545
2,1,2,8.41,2.239
2,1,4,41.12,2.513
1,3,4,18.19,0.437
2,2,1,40.67,6.897
1,1,2,69.14,1.161
1,1,3,47.35,1.237
1,1,5,30.13,0.307
2,2,1,41.81,14.694
1,1,2,18.74,0.66
1,3,2,35.78,1.622
1,1,1,10.2,0.806
2,1,2,52.96,3.898
2,3,1,30.38,4.491
1,3,1,26.97,0.911
3,1,3,9.85,11.249
1,1,1,24.83,1.087
1,3,1,35.79,0.943
1,2,2,12.91,0.685
2,2,2,9.98,4.974
1,2,2,15.96,1.013
1,3,5,71.75,0.963
1,2,2,10.21,1.066
1,1,1,21.0,0.741
2,1,1,26.46,5.428
3,2,2,5.35,28.051
1,1,1,27.3,0.412
2,1,4,18.35,1.687
1,2,2,29.02,1.073
1,1,2,41.87,0.952
1,3,4,25.03,0.662
3,1,3,26.47,10.084
1,2,3,39.23,1.409
2,2,2,21.96,6.453
1,1,1,61.74,1.82
2,1,2,37.38,3.141
1,1,1,14.78,0.791
3,2,2,31.01,31.112
2,2,4,14.55,2.734
1,1,2,41.07,0.983
2,1,1,22.65,3.552
2,3,1,47.76,7.636
1,1,4,22.45,0.259
1,3,1,17.84,0.848
2,1,2,15.93,2.553
2,1,3,39.35,4.608
1,2,1,31.71,1.274
2,1,3,26.41,2.81
1,3,1,43.3,1.089
1,2,3,31.95,1.178
1,2,1,51.14,1.848
1,2,1,27.32,1.132
1,2,1,6.13,1.308
1,2,4,48.27,1.135
1,2,2,44.86,1.272
1,3,3,20.18,0.622
2,2,2,26.26,7.153
1,1,3,9.29,0.545
2,1,2,22.33,2.189
1,1,2,12.89,0.581
1,1,2,30.79,1.021
1,1,1,16.02,0.574
2,1,4,5.82,2.198
1,1,4,35.75,0.398
1,3,1,33.53,0.905
2,2,4,23.16,3.934
2,1,1,21.88,4.055
2,3,2,4.49,3.351
1,3,3,23.88,1.05
1,3,1,33.66,0.762
1,1,1,40.68,0.939
2,1,3,18.0,1.808
1,1,2,17.65,0.618
1,2,2,18.38,1.411
1,2,3,8.14,0.975
1,2,1,13.97,0.901
2,2,1,31.07,11.945
1,3,5,14.27,0.596
1,2,2,14.41,0.98
1,3,2,6.7,0.768
1,3,1,17.79,0.917
1,1,5,48.13,0.316
1,3,1,53.75,1.084
2,1,1,14.34,3.344
2,1,1,12.16,4.549
3,3,3,12.4,13.611
3,1,1,32.17,17.342
1,1,1,11.3,0.813
1,3,2,16.51,0.908
1,1,2,24.11,0.902
2,1,1,24.17,4.28
1,1,2,12.16,0.63
1,2,1,31.13,1.494
1,1,1,11.2,0.888
1,1,1,6.51,0.57
2,3,5,21.87,2.95
2,1,2,52.62,3.992
1,2,1,29.73,1.213
